meanmax.size,meanmean.size,alone,model
1.86666666666667,1.27777777777778,51,equal
2,1.31444444444444,49,equal
1.86666666666667,1.28,51,equal
2.26666666666667,1.52555555555556,34,equal
2.2,1.53111111111111,35,equal
2.2,1.47444444444444,38,equal
1.93333333333333,1.32666666666667,45,equal
1.93333333333333,1.25777777777778,53,equal
2.4,1.57111111111111,34,equal
2.13333333333333,1.46666666666667,38,equal
2.13333333333333,1.36,43,equal
2.26666666666667,1.45,40,equal
2.06666666666667,1.41888888888889,39,equal
2.26666666666667,1.45666666666667,42,equal
2.13333333333333,1.44333333333333,41,equal
2.33333333333333,1.49222222222222,36,equal
2.13333333333333,1.44444444444444,41,equal
2.13333333333333,1.36888888888889,46,equal
2.06666666666667,1.38222222222222,40,equal
2.2,1.46333333333333,40,equal
2.13333333333333,1.4,48,equal
2,1.36888888888889,41,equal
1.86666666666667,1.27444444444444,52,equal
2,1.37333333333333,45,equal
1.93333333333333,1.38333333333333,38,equal
2.06666666666667,1.31111111111111,49,equal
1.93333333333333,1.28888888888889,49,equal
1.86666666666667,1.43444444444444,38,equal
2.2,1.43333333333333,40,equal
1.93333333333333,1.36888888888889,50,equal
2.13333333333333,1.34666666666667,45,equal
1.8,1.24222222222222,53,equal
2,1.36777777777778,42,equal
2.2,1.44333333333333,38,equal
2.13333333333333,1.39888888888889,45,equal
2.06666666666667,1.39777777777778,44,equal
2,1.49396825396825,40,equal
2.06666666666667,1.33444444444444,48,equal
2.4,1.53555555555556,38,equal
2.26666666666667,1.40777777777778,41,equal
2.13333333333333,1.44888888888889,35,equal
2,1.41333333333333,38,equal
2.13333333333333,1.35555555555556,43,equal
2.13333333333333,1.41222222222222,42,equal
2.06666666666667,1.33888888888889,48,equal
2,1.32777777777778,46,equal
2.26666666666667,1.50777777777778,36,equal
1.93333333333333,1.32111111111111,44,equal
2.33333333333333,1.37174603174603,48,equal
1.8,1.26666666666667,51,equal
2.13333333333333,1.37666666666667,44,equal
2,1.35777777777778,43,equal
2.26666666666667,1.46555555555556,38,equal
2.2,1.38730158730159,44,equal
2.26666666666667,1.44555555555556,43,equal
2.2,1.41730158730159,40,equal
1.86666666666667,1.27777777777778,51,equal
2.2,1.60333333333333,31,equal
2.06666666666667,1.37555555555556,44,equal
2.2,1.43444444444444,43,equal
2.33333333333333,1.46111111111111,43,equal
2.26666666666667,1.42111111111111,39,equal
2.13333333333333,1.39222222222222,45,equal
1.8,1.29555555555556,49,equal
2,1.43111111111111,43,equal
2.13333333333333,1.42888888888889,37,equal
2,1.36333333333333,41,equal
2.06666666666667,1.38555555555556,43,equal
2.06666666666667,1.36666666666667,44,equal
2.13333333333333,1.45,35,equal
2.06666666666667,1.35444444444444,49,equal
2.26666666666667,1.47222222222222,39,equal
2.06666666666667,1.46777777777778,35,equal
2.53333333333333,1.60444444444444,32,equal
2.4,1.63888888888889,32,equal
2.13333333333333,1.47555555555556,41,equal
2.33333333333333,1.52666666666667,35,equal
2.33333333333333,1.50666666666667,36,equal
2.06666666666667,1.40777777777778,38,equal
2.13333333333333,1.38666666666667,47,equal
2.26666666666667,1.45444444444444,43,equal
2,1.33222222222222,48,equal
2.06666666666667,1.34444444444444,45,equal
2.13333333333333,1.40333333333333,42,equal
2.06666666666667,1.41222222222222,41,equal
2.2,1.41555555555556,40,equal
2.06666666666667,1.40666666666667,38,equal
2.13333333333333,1.40444444444444,40,equal
2.2,1.39777777777778,42,equal
2.06666666666667,1.38396825396825,43,equal
2.2,1.41777777777778,40,equal
2.26666666666667,1.49666666666667,39,equal
2.26666666666667,1.41,44,equal
2,1.26888888888889,53,equal
2.06666666666667,1.39555555555556,47,equal
1.86666666666667,1.34,46,equal
2.06666666666667,1.32222222222222,49,equal
2,1.26888888888889,52,equal
2.06666666666667,1.34555555555556,47,equal
2.33333333333333,1.40222222222222,42,equal
2.26666666666667,1.40396825396825,44,equal
2.06666666666667,1.32666666666667,46,equal
2.2,1.39,44,equal
2.06666666666667,1.43555555555556,36,equal
2.2,1.39777777777778,42,equal
2.33333333333333,1.51111111111111,37,equal
1.93333333333333,1.34666666666667,44,equal
2.13333333333333,1.34444444444444,45,equal
2.2,1.41777777777778,42,equal
2.13333333333333,1.38777777777778,41,equal
2,1.27,53,equal
2.13333333333333,1.45555555555556,41,equal
2.13333333333333,1.39444444444444,44,equal
2.13333333333333,1.45666666666667,40,equal
2.2,1.41777777777778,38,equal
2.13333333333333,1.35111111111111,48,equal
2.2,1.50222222222222,37,equal
2.26666666666667,1.41666666666667,45,equal
2,1.35444444444444,45,equal
1.93333333333333,1.28555555555556,50,equal
1.86666666666667,1.34666666666667,43,equal
2.26666666666667,1.32222222222222,50,equal
2.13333333333333,1.40333333333333,42,equal
2.06666666666667,1.39222222222222,48,equal
2.06666666666667,1.42444444444444,39,equal
2.2,1.41,43,equal
2.06666666666667,1.36111111111111,46,equal
2.13333333333333,1.37,44,equal
2.06666666666667,1.44555555555556,43,equal
2.26666666666667,1.34555555555556,51,equal
2.26666666666667,1.40333333333333,44,equal
2.13333333333333,1.44174603174603,39,equal
2.2,1.36555555555556,47,equal
2,1.38444444444444,42,equal
2.53333333333333,1.63111111111111,34,equal
