meanmax.size,meanmean.size,alone,model
3.15384615384615,1.71868131868132,40,CRP
3.23076923076923,1.72893772893773,41,CRP
3.69230769230769,2.16117216117216,35,CRP
3.38461538461538,1.9032967032967,34,CRP
3.30769230769231,1.64249084249084,47,CRP
3.76923076923077,2.21098901098901,39,CRP
3.46153846153846,1.82124542124542,38,CRP
3.07692307692308,1.71794871794872,41,CRP
3.30769230769231,1.94432234432234,32,CRP
3.53846153846154,1.85201465201465,37,CRP
3.53846153846154,1.84615384615385,40,CRP
3.30769230769231,1.76410256410256,35,CRP
3.46153846153846,1.88278388278388,36,CRP
3.46153846153846,1.9025641025641,34,CRP
3.23076923076923,1.83150183150183,34,CRP
2.84615384615385,1.6014652014652,47,CRP
3.76923076923077,1.91794871794872,34,CRP
3.38461538461538,1.82124542124542,44,CRP
3.07692307692308,1.76923076923077,39,CRP
3.30769230769231,1.96923076923077,28,CRP
3.92307692307692,1.92820512820513,34,CRP
3.23076923076923,1.80659340659341,36,CRP
3,1.64688644688645,41,CRP
2.92307692307692,1.58021978021978,47,CRP
3.23076923076923,1.73333333333333,38,CRP
3.53846153846154,1.84761904761905,41,CRP
2.76923076923077,1.58534798534799,42,CRP
3.38461538461538,1.84615384615385,33,CRP
3.53846153846154,1.81538461538462,35,CRP
3.61538461538462,1.82124542124542,45,CRP
3.38461538461538,1.96043956043956,39,CRP
3.23076923076923,1.78021978021978,37,CRP
3.30769230769231,1.76410256410256,36,CRP
3.61538461538462,2.28717948717949,32,CRP
3.53846153846154,2.13333333333333,34,CRP
2.76923076923077,1.60732600732601,44,CRP
3.30769230769231,1.73992673992674,47,CRP
3.23076923076923,1.9003663003663,46,CRP
3.15384615384615,1.84175824175824,35,CRP
3.07692307692308,1.83150183150183,38,CRP
3.61538461538462,2.12307692307692,31,CRP
3.46153846153846,1.74871794871795,43,CRP
2.84615384615385,1.70769230769231,42,CRP
2.92307692307692,1.68717948717949,40,CRP
2.76923076923077,1.64688644688645,38,CRP
2.92307692307692,1.62197802197802,47,CRP
3.23076923076923,1.72893772893773,40,CRP
3.15384615384615,1.75384615384615,34,CRP
3.30769230769231,1.9032967032967,35,CRP
3.30769230769231,1.9032967032967,39,CRP
3.53846153846154,1.82564102564103,36,CRP
3.53846153846154,1.86227106227106,39,CRP
3,1.83150183150183,35,CRP
3.38461538461538,1.67179487179487,45,CRP
3.15384615384615,1.67765567765568,41,CRP
2.84615384615385,1.61025641025641,42,CRP
3.61538461538462,2.1040293040293,44,CRP
2.84615384615385,1.62051282051282,42,CRP
2.84615384615385,1.61172161172161,41,CRP
3.76923076923077,2.25201465201465,37,CRP
3.38461538461538,1.75970695970696,36,CRP
4.07692307692308,2.10842490842491,34,CRP
3.15384615384615,1.86153846153846,37,CRP
3.76923076923077,1.93406593406593,38,CRP
3.76923076923077,1.94432234432234,36,CRP
3.92307692307692,2.14358974358974,28,CRP
3,1.85274725274725,42,CRP
3.23076923076923,1.88717948717949,36,CRP
3.23076923076923,1.85641025641026,37,CRP
3.46153846153846,1.8989010989011,34,CRP
3.38461538461538,1.77435897435897,40,CRP
3.23076923076923,1.71282051282051,40,CRP
3.53846153846154,1.87692307692308,38,CRP
3.38461538461538,2.05714285714286,32,CRP
3.76923076923077,1.8974358974359,34,CRP
3.15384615384615,1.78461538461538,37,CRP
3.15384615384615,1.74358974358974,37,CRP
3.30769230769231,1.91941391941392,35,CRP
2.92307692307692,1.56483516483516,46,CRP
3.07692307692308,1.70842490842491,40,CRP
3.15384615384615,1.77948717948718,39,CRP
3.84615384615385,1.97948717948718,35,CRP
3.15384615384615,1.86227106227106,33,CRP
3.53846153846154,1.95897435897436,30,CRP
3.69230769230769,1.82564102564103,37,CRP
3.15384615384615,1.81098901098901,36,CRP
3.07692307692308,1.82124542124542,41,CRP
3.07692307692308,1.65201465201465,46,CRP
3.46153846153846,1.91794871794872,30,CRP
3.15384615384615,1.91794871794872,30,CRP
3.53846153846154,1.88278388278388,40,CRP
3,1.74358974358974,38,CRP
2.76923076923077,1.5956043956044,41,CRP
3.07692307692308,1.83150183150183,32,CRP
3.23076923076923,1.71428571428571,40,CRP
2.76923076923077,1.6,42,CRP
3.23076923076923,1.85201465201465,34,CRP
3.53846153846154,2.09230769230769,33,CRP
3.76923076923077,2.06153846153846,33,CRP
3.38461538461538,1.80512820512821,39,CRP
3.53846153846154,2.16410256410256,34,CRP
3,1.80512820512821,30,CRP
3.30769230769231,1.75970695970696,40,CRP
3.23076923076923,1.85641025641026,31,CRP
3.23076923076923,1.86227106227106,42,CRP
3.61538461538462,1.81538461538462,39,CRP
3.15384615384615,1.77435897435897,35,CRP
3.53846153846154,1.87692307692308,32,CRP
3.76923076923077,1.97948717948718,32,CRP
3.30769230769231,1.88717948717949,29,CRP
2.53846153846154,1.50915750915751,46,CRP
2.53846153846154,1.3978021978022,57,CRP
3.53846153846154,1.83736263736264,40,CRP
3.53846153846154,1.86666666666667,36,CRP
3.46153846153846,1.95018315018315,36,CRP
3.46153846153846,1.92380952380952,32,CRP
3.30769230769231,1.6981684981685,42,CRP
3.30769230769231,1.72454212454212,41,CRP
3.15384615384615,1.80512820512821,33,CRP
2.69230769230769,1.55897435897436,41,CRP
3.76923076923077,2.12307692307692,31,CRP
3.30769230769231,1.64688644688645,47,CRP
4.07692307692308,2.18021978021978,29,CRP
2.84615384615385,1.61611721611722,40,CRP
3.30769230769231,2.01025641025641,29,CRP
3,1.8007326007326,32,CRP
3.61538461538462,2.17435897435897,29,CRP
3.15384615384615,1.87692307692308,35,CRP
3,1.59120879120879,46,CRP
3.76923076923077,1.87252747252747,41,CRP
3.53846153846154,1.92307692307692,37,CRP
3.15384615384615,1.82564102564103,34,CRP
4.07692307692308,2.08717948717949,39,CRP
2.46153846153846,1.45201465201465,54,CRP
3.38461538461538,1.82051282051282,44,CRP
3.76923076923077,2.14945054945055,32,CRP
3.76923076923077,1.91355311355311,39,CRP
3.23076923076923,1.74432234432234,44,CRP
4.46153846153846,2.75897435897436,20,CRP
3.53846153846154,1.84615384615385,39,CRP
3.23076923076923,1.71868131868132,38,CRP
3.30769230769231,1.81098901098901,38,CRP
3.38461538461538,1.94871794871795,29,CRP
3.15384615384615,1.7040293040293,42,CRP
3.15384615384615,2.0014652014652,32,CRP
3.07692307692308,1.63663003663004,45,CRP
3.46153846153846,1.88424908424908,43,CRP
3.30769230769231,1.80659340659341,44,CRP
3.38461538461538,1.88864468864469,40,CRP
2.61538461538462,1.5047619047619,49,CRP
3,1.91282051282051,37,CRP
2.92307692307692,1.57948717948718,42,CRP
2.92307692307692,1.53992673992674,48,CRP
3.23076923076923,1.76483516483516,44,CRP
3.23076923076923,1.72893772893773,39,CRP
2.92307692307692,1.58681318681319,48,CRP
3.53846153846154,1.91355311355311,41,CRP
2.92307692307692,1.7025641025641,37,CRP
3.15384615384615,1.93406593406593,35,CRP
3.15384615384615,1.69377289377289,42,CRP
3.07692307692308,1.93406593406593,34,CRP
3.69230769230769,2.01025641025641,33,CRP
3.61538461538462,1.95164835164835,44,CRP
3.15384615384615,1.82564102564103,34,CRP
2.69230769230769,1.51868131868132,50,CRP
3.07692307692308,1.796336996337,41,CRP
3.46153846153846,1.87692307692308,32,CRP
2.84615384615385,1.79047619047619,37,CRP
2.84615384615385,1.71941391941392,47,CRP
2.92307692307692,1.64615384615385,44,CRP
3.69230769230769,2.02637362637363,34,CRP
3.15384615384615,1.91794871794872,30,CRP
3.23076923076923,1.81025641025641,37,CRP
3.53846153846154,1.86227106227106,40,CRP
3.53846153846154,1.90769230769231,31,CRP
3.23076923076923,1.73333333333333,36,CRP
3.53846153846154,2.04688644688645,32,CRP
2.84615384615385,1.51355311355311,49,CRP
3.53846153846154,1.8007326007326,38,CRP
3.07692307692308,1.74945054945055,38,CRP
3.38461538461538,1.82124542124542,43,CRP
2.84615384615385,1.49304029304029,49,CRP
3.15384615384615,1.66300366300366,43,CRP
3.23076923076923,1.92820512820513,32,CRP
3.69230769230769,1.93846153846154,38,CRP
3.30769230769231,1.86813186813187,38,CRP
3.38461538461538,1.93406593406593,42,CRP
3,1.70989010989011,40,CRP
3,1.76996336996337,35,CRP
3.23076923076923,1.796336996337,40,CRP
3.53846153846154,1.71282051282051,43,CRP
3.07692307692308,1.74358974358974,33,CRP
2.92307692307692,1.69377289377289,41,CRP
3.92307692307692,2.15970695970696,33,CRP
3,1.7948717948718,34,CRP
3.07692307692308,1.78461538461538,42,CRP
3.46153846153846,1.98534798534799,36,CRP
3,1.75531135531136,39,CRP
3.53846153846154,1.98974358974359,31,CRP
3.30769230769231,1.85641025641026,37,CRP
3.23076923076923,1.85714285714286,41,CRP
3,1.62857142857143,57,CRP
3.38461538461538,1.80512820512821,41,CRP
3.84615384615385,1.91355311355311,40,CRP
2.76923076923077,1.57069597069597,45,CRP
3.53846153846154,2.06739926739927,33,CRP
3.23076923076923,1.87252747252747,36,CRP
3.53846153846154,1.97509157509158,32,CRP
3.07692307692308,1.88278388278388,34,CRP
2.69230769230769,1.6014652014652,43,CRP
3.15384615384615,1.74945054945055,37,CRP
3.53846153846154,1.84322344322344,42,CRP
3.07692307692308,1.71428571428571,44,CRP
2.76923076923077,1.67765567765568,38,CRP
3.76923076923077,2.33846153846154,30,CRP
2.69230769230769,1.66739926739927,44,CRP
3.84615384615385,2.44102564102564,31,CRP
2.61538461538462,1.67912087912088,44,CRP
3.15384615384615,1.6981684981685,39,CRP
3.46153846153846,2.00586080586081,35,CRP
3.46153846153846,1.86666666666667,39,CRP
3.07692307692308,1.71282051282051,37,CRP
2.76923076923077,1.5956043956044,42,CRP
3,1.83589743589744,38,CRP
3.38461538461538,1.95164835164835,41,CRP
3,1.75970695970696,36,CRP
3.38461538461538,1.82124542124542,37,CRP
3.30769230769231,1.84175824175824,33,CRP
3.38461538461538,1.84175824175824,35,CRP
2.76923076923077,1.51501831501832,52,CRP
3,1.7948717948718,29,CRP
2.92307692307692,1.52527472527473,52,CRP
3.15384615384615,1.74358974358974,37,CRP
3.61538461538462,2.12307692307692,38,CRP
3.23076923076923,1.88351648351648,40,CRP
3.53846153846154,1.94871794871795,32,CRP
3.23076923076923,1.67179487179487,42,CRP
3.61538461538462,1.97948717948718,31,CRP
3.38461538461538,1.83150183150183,40,CRP
3.46153846153846,1.99120879120879,37,CRP
3.07692307692308,1.84615384615385,29,CRP
3.46153846153846,1.83150183150183,39,CRP
3.23076923076923,1.71428571428571,41,CRP
3.07692307692308,1.80512820512821,41,CRP
3.07692307692308,1.78021978021978,35,CRP
3.46153846153846,1.87692307692308,38,CRP
3.46153846153846,1.91794871794872,35,CRP
3.38461538461538,1.88717948717949,34,CRP
3.38461538461538,1.92820512820513,33,CRP
3.69230769230769,1.96923076923077,34,CRP
3.30769230769231,1.8974358974359,33,CRP
3.53846153846154,1.7948717948718,38,CRP
3.07692307692308,1.84175824175824,37,CRP
3.15384615384615,1.80659340659341,37,CRP
3.76923076923077,2.06739926739927,32,CRP
3.38461538461538,1.87252747252747,36,CRP
2.92307692307692,1.67765567765568,41,CRP
3.23076923076923,1.88278388278388,35,CRP
3.53846153846154,1.75970695970696,40,CRP
