Experiment_ID,Choice_1,Choice_0,Feed_Date,Trial_Date,Food_Deprivation_Length,Animal,Arena_Position,Choice,Acclimation,area_chosen,area_other,berghia_length,track_intersection,path_sense_beh,radius_chosen,radius_other,rel_radius_chosen,rel_radius_other,rel_size_diff,size_diff,latency_2_choose
SG040921Intact_vs_slimetrail,Slime_Trail,Intact,4/2/2021,4/9/2021,7,19,A1,1,asw,0.052,0.09,0.638,1,0,0.12865502,0.169256875,0.201653636,0.265292908,-0.063639272,-0.040601855,60
SG040921Intact_vs_slimetrail,Slime_Trail,Intact,4/2/2021,4/9/2021,7,20,B1,0,asw,0.048,0.129,0.666,1,0,0.123607745,0.202637547,0.185597214,0.304260581,-0.118663366,-0.079029802,493
SG040921Intact_vs_slimetrail,Slime_Trail,Intact,4/2/2021,4/9/2021,7,21,C1,1,asw,0.084,0.055,0.575,0,,0.163517676,0.132314186,0.284378567,0.230111627,0.05426694,0.031203491,67
SG040921Intact_vs_slimetrail,Slime_Trail,Intact,4/2/2021,4/9/2021,7,22,A2,0,asw,0.063,0.136,0.718,0,,0.141610462,0.208062838,0.197229055,0.289781111,-0.092552056,-0.066452376,228
SG040921Intact_vs_slimetrail,Slime_Trail,Intact,4/2/2021,4/9/2021,7,23,B2,1,asw,0.036,0.084,0.637,0,,0.107047447,0.163517676,0.168049367,0.256699649,-0.088650281,-0.056470229,65
SG040921Intact_vs_slimetrail,Slime_Trail,Intact,4/2/2021,4/9/2021,7,24,C2,1,asw,0.028,0.05,0.712,0,,0.094406974,0.126156626,0.132594065,0.177186273,-0.044592207,-0.031749652,274
SG040921Intact_vs_slimetrail,Slime_Trail,Intact,4/2/2021,4/9/2021,7,25,A1,0,asw,0.142,0.058,0.602,0,,0.212602925,0.135874845,0.353161005,0.225705722,0.127455284,0.076728081,71
SG040921Intact_vs_slimetrail,Slime_Trail,Intact,4/2/2021,4/9/2021,7,26,B1,0,asw,0.043,0.119,0.686,0,,0.116992842,0.194624964,0.170543502,0.283709859,-0.113166358,-0.077632121,104
SG040921Intact_vs_slimetrail,Slime_Trail,Intact,4/2/2021,4/9/2021,7,27,C1,1,asw,0.061,0.086,0.747,1,0,0.139344548,0.165452864,0.186538886,0.221489778,-0.034950892,-0.026108316,83
SG040921Intact_vs_slimetrail,Slime_Trail,Intact,4/2/2021,4/9/2021,7,28,A2,1,asw,0.113,0.071,0.654,1,0,0.189654995,0.15033297,0.289992347,0.229866927,0.06012542,0.039322025,112
SG040921Intact_vs_slimetrail,Slime_Trail,Intact,4/2/2021,4/9/2021,7,29,B2,0,asw,0.021,0.029,0.656,0,,0.081758838,0.096078024,0.124632375,0.146460402,-0.021828027,-0.014319186,221
SG040921Intact_vs_slimetrail,Slime_Trail,Intact,4/2/2021,4/9/2021,7,30,C2,0,asw,0.018,0.034,0.634,0,,0.075693976,0.104031419,0.119391129,0.164087412,-0.044696283,-0.028337443,111
SG061721_Intact_vs_Slime trail,Slime_Trail,Intact,6/8/2021,6/17/2021,9,1,A1,1,asw+anemone,0.141,0.118,0.687,*,,0.211853001,0.193805486,0.308374091,0.282104056,0.026270035,0.018047514,540
SG061721_Intact_vs_Slime trail,Slime_Trail,Intact,6/8/2021,6/17/2021,9,2,B1,1,asw+anemone,0.09,0.075,0.658,*,,0.169256875,0.154509681,0.257229293,0.234817144,0.022412149,0.014747194,120
SG061721_Intact_vs_Slime trail,Slime_Trail,Intact,6/8/2021,6/17/2021,9,3,C1,0,asw+anemone,0.141,0.101,0.479,*,,0.211853001,0.179302255,0.442281839,0.37432621,0.067955629,0.032550746,240
SG061721_Intact_vs_Slime trail,Slime_Trail,Intact,6/8/2021,6/17/2021,9,4,A2,1,asw+anemone,0.155,0.16,0.7,*,,0.222121661,0.225675833,0.317316659,0.322394048,-0.005077389,-0.003554172,780
SG061721_Intact_vs_Slime trail,Slime_Trail,Intact,6/8/2021,6/17/2021,9,5,B2,1,asw+anemone,0.204,0.092,0.554,*,,0.254823894,0.171127174,0.459970927,0.308893815,0.151077112,0.08369672,120
SG061721_Intact_vs_Slime trail,Slime_Trail,Intact,6/8/2021,6/17/2021,9,6,C2,1,asw+anemone,0.228,0.131,0.637,*,,0.269396834,0.204202339,0.422914967,0.32056882,0.102346146,0.065194495,120
