Date,num_berghia,num_aiptasia,num_not_feeding,group_size_1,group_size_2
5/7/2021,12,2,0,7,5
5/7/2021,8,2,0,5,3
5/7/2021,8,2,0,8,0
5/7/2021,7,2,0,7,0
5/7/2021,9,2,2,4,3
5/7/2021,9,2,0,5,4
5/7/2021,8,2,0,5,3
5/7/2021,8,2,1,6,1
5/7/2021,7,2,0,7,0
5/7/2021,10,2,0,9,1
5/7/2021,7,2,0,6,1
5/7/2021,8,2,0,8,0
5/7/2021,8,2,2,5,1
5/7/2021,4,2,0,3,1
5/7/2021,10,2,0,10,0
5/7/2021,10,2,0,10,0
5/7/2021,10,2,0,10,0
5/7/2021,9,2,0,9,0
5/7/2021,9,2,0,7,2
5/7/2021,5,2,0,5,0
5/7/2021,7,2,0,7,0
