Experiment_ID,Choice,Choice_1,Food_Deprivation_Length,Acclimation,latency_2_choose
SG062421_Intact vs Feeding,1,Feeding_Conspecific,7,asw+anemone,240
SG062421_Intact vs Feeding,0,Feeding_Conspecific,7,asw+anemone,180
SG062921 Intact_vs_Feeding,1,Feeding_Conspecific,7,asw+anemone,60
SG062921 Intact_vs_Feeding,0,Feeding_Conspecific,7,asw+anemone,60
SG062921 Intact_vs_Feeding,0,Feeding_Conspecific,7,asw+anemone,180
SG062921 Intact_vs_Feeding,0,Feeding_Conspecific,7,asw+anemone,60
SG07021 Intact_vs_Feeding,1,Feeding_Conspecific,7,asw+anemone,180
SG07021 Intact_vs_Feeding,1,Feeding_Conspecific,7,asw+anemone,240
SG07021 Intact_vs_Feeding,1,Feeding_Conspecific,7,asw+anemone,360
SG07021 Intact_vs_Feeding,0,Feeding_Conspecific,7,asw+anemone,120
SG07021 Intact_vs_Feeding,0,Feeding_Conspecific,7,asw+anemone,0
SG07021 Intact_vs_Feeding,0,Feeding_Conspecific,7,asw+anemone,120
SG070621 Intact_vs_Feeding,0,Feeding_Conspecific,7,asw+anemone,120
SG070621 Intact_vs_Feeding,0,Feeding_Conspecific,7,asw+anemone,120
SG070621 Intact_vs_Feeding,1,Feeding_Conspecific,7,asw+anemone,120
SG070621 Intact_vs_Feeding,0,Feeding_Conspecific,7,asw+anemone,120
SG070621 Intact_vs_Feeding,0,Feeding_Conspecific,7,asw+anemone,60
SG070621 Intact_vs_Feeding,1,Feeding_Conspecific,7,asw+anemone,480
SG031921_intact_vs_cut,0,Bisected_Anemone,7,asw,2160
SG031921_intact_vs_cut,1,Bisected_Anemone,7,asw,300
SG031921_intact_vs_cut,1,Bisected_Anemone,7,asw,600
SG031921_intact_vs_cut,1,Bisected_Anemone,7,asw,180
SG031921_intact_vs_cut,0,Bisected_Anemone,7,asw,1620
SG031921_intact_vs_cut,0,Bisected_Anemone,7,asw,240
SG031921_intact_vs_cut,0,Bisected_Anemone,7,asw,1200
SG031921_intact_vs_cut,0,Bisected_Anemone,7,asw,1020
SG031921_intact_vs_cut,0,Bisected_Anemone,7,asw,720
SG031921_intact_vs_cut,0,Bisected_Anemone,7,asw,1140
SG032621Intact_vs_injured,0,Bisected_Anemone,7,asw,345
SG032621Intact_vs_injured,1,Bisected_Anemone,7,asw,116
SG032621Intact_vs_injured,1,Bisected_Anemone,7,asw,95
SG032621Intact_vs_injured,0,Bisected_Anemone,7,asw,42
SG032621Intact_vs_injured,0,Bisected_Anemone,7,asw,126
SG032621Intact_vs_injured,0,Bisected_Anemone,7,asw,73
